Cites,Authors,Document Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
335,"A Tsanas, A Xifara","Accurate quantitative estimation of energy performance of residential buildings using statistical machine learning tools",2012,"Energy and Buildings","Elsevier","https://www.sciencedirect.com/science/article/pii/S037877881200151X","https://scholar.google.com/scholar?cites=4572486950120859289&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-01-23 14:01:29","","","","",,,,,335,41.88,168,2,8,"We develop a statistical machine learning framework to study the effect of eight input variables (relative compactness, surface area, wall area, roof area, overall height, orientation, glazing area, glazing area distribution) on two output variables, namely heating …"
222,"RV Rao, VD Kalyankar","Parameter optimization of modern machining processes using teaching–learning-based optimization algorithm",2013,"Engineering Applications of Artificial Intelligence","Elsevier","https://www.sciencedirect.com/science/article/pii/S0952197612001509","https://scholar.google.com/scholar?cites=16316688056388636028&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-01-23 14:01:29","","","","",,,,,222,31.71,111,2,7,"Modern machining processes are now-a-days widely used by manufacturing industries in order to produce high quality precise and very complex products. These modern machining processes involve large number of input parameters which may affect the cost and quality of …"
119,"G Rajyalakshmi, PV Ramaiah","Multiple process parameter optimization of wire electrical discharge machining on Inconel 825 using Taguchi grey relational analysis",2013,"The International Journal of Advanced …","Springer","https://link.springer.com/article/10.1007/s00170-013-5081-z","https://scholar.google.com/scholar?cites=6932616267225809094&as_sdt=2005&sciodt=0,5&hl=en",5,"2020-01-23 14:01:29","","","","",,,,,119,17.00,60,2,7,"In this paper, an effective approach, Taguchi grey relational analysis, has been applied to experimental results of wire cut electrical discharge machining (WEDM) on Inconel 825 with consideration of multiple response measures. The approach combines the orthogonal array …"
68,"MA Mellal, EJ Williams","Parameter optimization of advanced machining processes using cuckoo optimization algorithm and hoopoe heuristic",2016,"Journal of Intelligent Manufacturing","Springer","https://link.springer.com/article/10.1007/s10845-014-0925-4","https://scholar.google.com/scholar?cites=8704268247440940594&as_sdt=2005&sciodt=0,5&hl=en",7,"2020-01-23 14:01:29","HTML","","","",,,,,68,17.00,34,2,4,"Unconventional machining processes (communally named advanced or modern machining processes) are widely used by manufacturing industries. These advanced machining processes allow producing complex profiles and high quality-products. However, several …"
100,"PJ Pawar, RV Rao","Parameter optimization of machining processes using teaching–learning-based optimization algorithm",2013,"The International Journal of Advanced Manufacturing …","Springer","https://link.springer.com/article/10.1007/s00170-012-4524-2","https://scholar.google.com/scholar?cites=13267954491765087006&as_sdt=2005&sciodt=0,5&hl=en",3,"2020-01-23 14:01:29","","","","",,,,,100,14.29,50,2,7,"The optimum selection of process parameters plays a significant role to ensure quality of product, to reduce the machining cost and to increase the productivity of any machining process. This paper presents the optimization aspects of process parameters of three …"
26,"SPSS Sivam, SM Karuppaiah, BK Yedida…","Multi response optimization of setting input variables for getting better product quality in machining of magnesium AM60 by grey relation analysis and ANOVA",2018,"Periodica Polytechnica …","pp.bme.hu","https://pp.bme.hu/me/article/view/11034","https://scholar.google.com/scholar?cites=2911968125667635906&as_sdt=2005&sciodt=0,5&hl=en",31,"2020-01-23 14:01:29","","","","",,,,,26,13.00,7,4,2,"This study presents the optimization of Machining parameters on AM60 Mg alloy manufactured by Gravity Die Casting and with responses supported orthogonal array with Grey relation analysis. Focuses on the optimization of Machining input parameters using the …"
60,"J Huang, L Gao, X Li","An effective teaching-learning-based cuckoo search algorithm for parameter optimization problems in structure designing and machining processes",2015,"Applied Soft Computing","Elsevier","https://www.sciencedirect.com/science/article/pii/S1568494615004718","https://scholar.google.com/scholar?cites=13188301991954690830&as_sdt=2005&sciodt=0,5&hl=en",11,"2020-01-23 14:01:29","","","","",,,,,60,12.00,20,3,5,"The optimum selection of parameters is great important for the final quality of product in modern industrial manufacturing process. In order to achieve highly product quality, an effective optimization technique is indispensable. In this paper, a new hybrid algorithm …"
36,"N Sharma, T Raj, KK Jangra","Parameter optimization and experimental study on wire electrical discharge machining of porous Ni40Ti60 alloy",2017,"Proceedings of the Institution …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0954405415577710","https://scholar.google.com/scholar?cites=13446408482457169677&as_sdt=2005&sciodt=0,5&hl=en",20,"2020-01-23 14:01:29","","","","",,,,,36,12.00,12,3,3,"NiTi is a shape memory alloy, mostly employed in cardiovascular stents, orthopedic implants, orthodontic wires, micro-electromechanical systems and so on. The effective and net shape machining of NiTi is very critical for excellent response of this material in medical …"
58,"Q Yi, C Li, Y Tang, X Chen","Multi-objective parameter optimization of CNC machining for low carbon manufacturing",2015,"Journal of Cleaner Production","Elsevier","https://www.sciencedirect.com/science/article/pii/S0959652615002024","https://scholar.google.com/scholar?cites=7759120959293722292&as_sdt=2005&sciodt=0,5&hl=en",8,"2020-01-23 14:01:29","","","","",,,,,58,11.60,15,4,5,"Low carbon manufacturing is of growing importance due to the severity of energy shortage and increasing energy costs, as well as a series of environmental problems, ie, climate change and global warming. This paper investigates the potential of process parameter …"
30,"L Li, C Li, Y Tang, L Li","An integrated approach of process planning and cutting parameter optimization for energy-aware CNC machining",2017,"Journal of Cleaner Production","Elsevier","https://www.sciencedirect.com/science/article/pii/S0959652617312039","https://scholar.google.com/scholar?cites=11347917112277831527&as_sdt=2005&sciodt=0,5&hl=en",23,"2020-01-23 14:01:29","","","","",,,,,30,10.00,8,4,3,"Process plans and cutting parameters are important components in the computer aided process planning. Reasonable choice of process plans and cutting parameters can significant affect the energy consumption as well as traditional economic performances of …"
