Cites,Authors,Document Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
19,"G. Sun","Multiobjective reliability-based optimization for crashworthy structures coupled with metal forming process",2017,"Structural and Multidisciplinary Optimization","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85030709445&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85030709445&origin=inward",13,"2020-01-23 14:24:36","Article","10.1007/s00158-017-1825-y","1615-147X","https://api.elsevier.com/content/abstract/scopus_id/85030709445",56,6,1571,1587,19,6.33,19,1,3,""
43,"J. Wiebenga","Product defect compensation by robust optimization of a cold roll forming process",2013,"Journal of Materials Processing Technology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84873978941&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84873978941&origin=inward",2,"2020-01-23 14:24:36","Article","10.1016/j.jmatprotec.2013.01.006","0924-0136","https://api.elsevier.com/content/abstract/scopus_id/84873978941",213,6,978,986,43,6.14,43,1,7,""
30,"S. Kurra","Modeling and optimization of surface roughness in single point incremental forming process",2015,"Journal of Materials Research and Technology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84939121905&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84939121905&origin=inward",6,"2020-01-23 14:24:36","Article","10.1016/j.jmrt.2015.01.003","2238-7854","https://api.elsevier.com/content/abstract/scopus_id/84939121905",4,3,304,313,30,6.00,30,1,5,""
29,"Y. Li","Investigation and optimization of deformation energy and geometric accuracy in the incremental sheet forming process using response surface methodology",2015,"International Journal of Advanced Manufacturing Technology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84937967975&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84937967975&origin=inward",7,"2020-01-23 14:24:36","Article","10.1007/s00170-015-6986-5","0268-3768","https://api.elsevier.com/content/abstract/scopus_id/84937967975",79,9,2041,2055,29,5.80,29,1,5,""
37,"U. Liebenthal","Overall process analysis and optimisation for CO<inf>2</inf> Capture from coal fired power plants based on phase change solvents forming two liquid phases",2013,"Energy Procedia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84883751360&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84883751360&origin=inward",4,"2020-01-23 14:24:36","Conference Paper","10.1016/j.egypro.2013.06.064","1876-6102","https://api.elsevier.com/content/abstract/scopus_id/84883751360",37,,1844,1854,37,5.29,37,1,7,""
21,"M. Abebe","Surrogate-based multi-point forming process optimization for dimpling and wrinkling reduction",2016,"International Journal of Advanced Manufacturing Technology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84944622477&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84944622477&origin=inward",10,"2020-01-23 14:24:36","Article","10.1007/s00170-015-7897-1","0268-3768","https://api.elsevier.com/content/abstract/scopus_id/84944622477",85,1,391,403,21,5.25,21,1,4,""
50,"J. Paralikas","Optimization of roll forming process parameters-A semi-empirical approach",2010,"International Journal of Advanced Manufacturing Technology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84860613819&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84860613819&origin=inward",1,"2020-01-23 14:24:36","Article","10.1007/s00170-009-2252-z","0268-3768","https://api.elsevier.com/content/abstract/scopus_id/84860613819",47,9,1041,1052,50,5.00,50,1,10,""
14,"M. Abosaf","Optimisation of multi-point forming process parameters",2017,"International Journal of Advanced Manufacturing Technology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85015837028&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85015837028&origin=inward",19,"2020-01-23 14:24:36","Article","10.1007/s00170-017-0155-y","0268-3768","https://api.elsevier.com/content/abstract/scopus_id/85015837028",92,5,1849,1859,14,4.67,14,1,3,""
18,"V. Gulati","Process Parameters Optimization in Single Point Incremental Forming",2016,"Journal of The Institution of Engineers (India): Series C","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85029615729&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85029615729&origin=inward",14,"2020-01-23 14:24:36","Article","10.1007/s40032-015-0203-z","2250-0545","https://api.elsevier.com/content/abstract/scopus_id/85029615729",97,2,185,193,18,4.50,18,1,4,""
39,"G. Hussain","Forming parameters and forming defects in incremental forming of an aluminum sheet: Correlation, empirical modeling, and optimization: Part A",2011,"Materials and Manufacturing Processes","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84855805285&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84855805285&origin=inward",3,"2020-01-23 14:24:36","Article","10.1080/10426914.2011.552017","1042-6914","https://api.elsevier.com/content/abstract/scopus_id/84855805285",26,12,1546,1553,39,4.33,39,1,9,""
